timestamp,raw,weight_g,force_N,pressure_adc,pressure_v,scale,offset
2025-11-11T14:12:54.269996,601016,0.087,0.00085,788,3.8514,761.654602,601012.0
2025-11-11T14:12:54.380289,601118,0.114,0.00112,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.380289,601198,0.089,0.00088,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.472992,600948,0.101,0.00099,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.472992,601109,0.096,0.00094,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.590071,600983,-0.074,-0.00072,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.590071,601068,0.288,0.00282,790,3.8612,761.654602,601012.0
2025-11-11T14:12:54.593083,601332,0.228,0.00224,788,3.8514,761.654602,601012.0
2025-11-11T14:12:54.645145,601176,0.142,0.00139,790,3.8612,761.654602,601012.0
2025-11-11T14:12:54.680399,600887,-0.054,-0.00053,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.739192,601124,-0.077,-0.00076,788,3.8514,761.654602,601012.0
2025-11-11T14:12:54.767994,600976,-0.077,-0.00076,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.819819,601128,0.231,0.00227,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.845914,600994,0.07,0.00068,788,3.8514,761.654602,601012.0
2025-11-11T14:12:54.917306,601105,0.1,0.00098,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.937518,600950,-0.075,-0.00073,789,3.8563,761.654602,601012.0
2025-11-11T14:12:54.982475,600938,-0.008,-8e-05,788,3.8514,761.654602,601012.0
2025-11-11T14:12:55.025324,601212,-0.041,-0.0004,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.062886,600993,0.056,0.00055,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.106174,600934,0.045,0.00044,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.173558,601165,0.093,0.00091,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.217919,600990,-0.058,-0.00057,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.244690,601122,0.142,0.00139,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.292086,601066,0.007,6e-05,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.358547,600915,0.173,0.0017,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.398208,601098,0.024,0.00023,788,3.8514,761.654602,601012.0
2025-11-11T14:12:55.413987,601073,0.072,0.00071,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.460995,600926,-0.083,-0.00081,788,3.8514,761.654602,601012.0
2025-11-11T14:12:55.522188,601109,0.161,0.00158,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.565084,601159,0.02,0.00019,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.598378,601021,-0.062,-0.00061,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.683294,601055,0.102,0.001,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.714363,601178,0.302,0.00296,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.743318,601053,-0.024,-0.00023,790,3.8612,761.654602,601012.0
2025-11-11T14:12:55.768626,601026,-0.043,-0.00042,790,3.8612,761.654602,601012.0
2025-11-11T14:12:55.831097,601174,0.075,0.00073,790,3.8612,761.654602,601012.0
2025-11-11T14:12:55.862231,600976,0.113,0.00111,789,3.8563,761.654602,601012.0
2025-11-11T14:12:55.895610,601023,0.076,0.00075,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.009460,600963,-0.072,-0.00071,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.013234,600922,0.045,0.00044,788,3.8514,761.654602,601012.0
2025-11-11T14:12:56.048653,601276,0.049,0.00048,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.076461,601096,0.001,1e-05,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.122902,601103,0.095,0.00093,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.174192,600982,0.165,0.00162,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.212968,601094,0.14,0.00138,790,3.8612,761.654602,601012.0
2025-11-11T14:12:56.262603,601114,-0.032,-0.00031,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.293192,601027,0.066,0.00064,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.372989,600972,-0.088,-0.00086,790,3.8612,761.654602,601012.0
2025-11-11T14:12:56.404595,601177,0.096,0.00094,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.430818,601045,0.009,9e-05,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.475410,601024,0.351,0.00344,789,3.8563,761.654602,601012.0
2025-11-11T14:12:56.534626,601081,0.116,0.00113,789,3.8563,761.654602,601012.0
